start result analysis from detection_results.pkl

    Compute the ratio of prediect correct V.S. class error V.S. localization error V.S. BG
    for different category objects' in multi scale
    
IoU threshold is between 0.1 and 0.5
Score threshold is 0.5
ClassName       	Detection Number	Correct                                         	Class error                                     	Localization error                              	BG trap                                         
                	                	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           	small           	medium          	large           
skateboard      	           178.0	  0.106741573034	  0.415730337079	  0.258426966292	             0.0	0.00561797752809	0.00561797752809	 0.0168539325843	 0.0280898876404	 0.0561797752809	 0.0561797752809	 0.0449438202247	0.00561797752809
surfboard       	           258.0	  0.104651162791	  0.321705426357	  0.209302325581	0.00387596899225	0.00387596899225	 0.0077519379845	 0.0736434108527	 0.0968992248062	  0.100775193798	  0.031007751938	 0.0193798449612	 0.0271317829457
tennis racket   	           216.0	  0.101851851852	  0.462962962963	  0.222222222222	0.00462962962963	0.00462962962963	             0.0	 0.0324074074074	 0.0601851851852	 0.0462962962963	 0.0324074074074	 0.0231481481481	0.00925925925926
bottle          	          1087.0	  0.287028518859	  0.290708371665	 0.0901563937443	0.00275988960442	0.00459981600736	0.00183992640294	 0.0478380864765	 0.0478380864765	 0.0110395584177	  0.142594296228	 0.0653173873045	0.00827966881325
wine glass      	           284.0	  0.204225352113	  0.271126760563	  0.183098591549	 0.0492957746479	 0.0246478873239	 0.0140845070423	 0.0492957746479	 0.0950704225352	 0.0387323943662	 0.0422535211268	 0.0176056338028	 0.0105633802817
cup             	           818.0	  0.209046454768	  0.295843520782	  0.132029339853	  0.018337408313	  0.018337408313	0.00488997555012	 0.0366748166259	 0.0342298288509	 0.0171149144254	  0.102689486553	  0.102689486553	 0.0281173594132
fork            	           169.0	 0.0355029585799	  0.230769230769	  0.289940828402	0.00591715976331	 0.0177514792899	 0.0118343195266	 0.0236686390533	   0.10650887574	  0.130177514793	 0.0414201183432	  0.094674556213	 0.0118343195266
knife           	           249.0	  0.180722891566	  0.244979919679	  0.120481927711	0.00803212851406	 0.0240963855422	0.00401606425703	   0.14859437751	 0.0923694779116	 0.0321285140562	 0.0441767068273	 0.0722891566265	 0.0281124497992
spoon           	           205.0	  0.112195121951	  0.229268292683	  0.126829268293	  0.019512195122	 0.0390243902439	             0.0	 0.0585365853659	 0.0878048780488	 0.0926829268293	  0.117073170732	   0.10243902439	 0.0146341463415
bowl            	           688.0	 0.0915697674419	  0.199127906977	  0.213662790698	 0.0203488372093	 0.0145348837209	 0.0261627906977	 0.0247093023256	 0.0261627906977	 0.0566860465116	  0.129360465116	  0.116279069767	 0.0813953488372
banana          	           488.0	 0.0512295081967	  0.303278688525	  0.194672131148	             0.0	0.00204918032787	0.00614754098361	 0.0266393442623	  0.135245901639	  0.112704918033	 0.0102459016393	 0.0922131147541	 0.0655737704918
apple           	           304.0	  0.121710526316	  0.240131578947	  0.108552631579	 0.0131578947368	             0.0	 0.0296052631579	 0.0427631578947	 0.0789473684211	  0.108552631579	 0.0526315789474	 0.0986842105263	  0.105263157895
sandwich        	           145.0	             0.0	   0.11724137931	  0.510344827586	0.00689655172414	 0.0206896551724	 0.0206896551724	             0.0	 0.0344827586207	  0.234482758621	             0.0	 0.0137931034483	 0.0413793103448
orange          	           350.0	 0.0542857142857	  0.185714285714	  0.134285714286	0.00285714285714	 0.0685714285714	 0.0342857142857	            0.02	  0.122857142857	  0.168571428571	 0.0371428571429	  0.102857142857	 0.0685714285714
broccoli        	           463.0	0.00647948164147	  0.276457883369	  0.166306695464	             0.0	 0.0107991360691	 0.0172786177106	0.00647948164147	  0.181425485961	  0.120950323974	 0.0151187904968	  0.123110151188	 0.0755939524838
carrot          	           597.0	  0.155778894472	  0.268006700168	 0.0636515912898	0.00335008375209	 0.0502512562814	0.00167504187605	 0.0502512562814	  0.103852596315	 0.0251256281407	  0.105527638191	  0.154103852596	 0.0184254606365
hot dog         	            90.0	 0.0666666666667	  0.422222222222	  0.322222222222	             0.0	             0.0	 0.0222222222222	             0.0	 0.0222222222222	  0.122222222222	             0.0	 0.0222222222222	             0.0
pizza           	           284.0	 0.0211267605634	  0.193661971831	  0.464788732394	             0.0	0.00352112676056	             0.0	 0.0176056338028	 0.0774647887324	   0.12323943662	 0.0140845070423	  0.056338028169	 0.0281690140845
donut           	           405.0	  0.397530864198	  0.234567901235	  0.185185185185	             0.0	0.00987654320988	0.00987654320988	 0.0172839506173	 0.0493827160494	  0.037037037037	0.00987654320988	 0.0296296296296	 0.0197530864198
cake            	           304.0	  0.118421052632	  0.299342105263	  0.282894736842	             0.0	0.00986842105263	0.00328947368421	 0.0164473684211	 0.0756578947368	 0.0921052631579	 0.0361842105263	 0.0263157894737	 0.0394736842105
chair           	          1833.0	  0.119476268412	   0.27114020731	  0.150027277687	 0.0741953082379	  0.025641025641	 0.0163666121113	 0.0338243316967	 0.0938352427714	 0.0720130932897	 0.0316421167485	 0.0736497545008	  0.038188761593
couch           	           281.0	             0.0	 0.0355871886121	  0.498220640569	             0.0	0.00355871886121	 0.0355871886121	             0.0	 0.0355871886121	  0.348754448399	             0.0	0.00355871886121	 0.0391459074733
potted plant    	           330.0	 0.0757575757576	  0.369696969697	  0.193939393939	0.00606060606061	             0.0	             0.0	 0.0333333333333	   0.10303030303	             0.1	 0.0212121212121	 0.0666666666667	  0.030303030303
bed             	           178.0	             0.0	 0.0168539325843	  0.573033707865	             0.0	0.00561797752809	0.00561797752809	             0.0	             0.0	  0.320224719101	0.00561797752809	 0.0112359550562	  0.061797752809
dining table    	           728.0	 0.0137362637363	 0.0700549450549	  0.417582417582	0.00412087912088	0.00961538461538	 0.0206043956044	0.00824175824176	 0.0631868131868	  0.258241758242	  0.010989010989	 0.0494505494505	 0.0741758241758
toilet          	           201.0	0.00497512437811	   0.10447761194	  0.562189054726	             0.0	             0.0	             0.0	             0.0	 0.0298507462687	  0.164179104478	0.00497512437811	 0.0398009950249	  0.089552238806
tv              	           278.0	 0.0431654676259	  0.237410071942	  0.460431654676	             0.0	 0.0107913669065	 0.0143884892086	0.00359712230216	 0.0359712230216	 0.0503597122302	0.00359712230216	 0.0863309352518	 0.0539568345324
laptop          	           222.0	0.00900900900901	  0.144144144144	  0.585585585586	             0.0	             0.0	  0.027027027027	0.00900900900901	  0.027027027027	  0.121621621622	0.00900900900901	 0.0495495495495	  0.018018018018
mouse           	           111.0	  0.324324324324	   0.27027027027	  0.108108108108	             0.0	             0.0	             0.0	  0.018018018018	  0.018018018018	0.00900900900901	  0.117117117117	  0.126126126126	0.00900900900901
remote          	           283.0	  0.339222614841	  0.236749116608	 0.0671378091873	 0.0141342756184	0.00353356890459	             0.0	  0.109540636042	 0.0706713780919	 0.0212014134276	 0.0777385159011	 0.0530035335689	0.00706713780919
keyboard        	           167.0	 0.0059880239521	  0.287425149701	  0.377245508982	             0.0	 0.0119760479042	 0.0059880239521	             0.0	 0.0419161676647	 0.0838323353293	 0.0179640718563	  0.137724550898	 0.0299401197605
cell phone      	           233.0	   0.25321888412	  0.278969957082	  0.141630901288	0.00429184549356	             0.0	             0.0	  0.068669527897	  0.068669527897	 0.0515021459227	 0.0557939914163	 0.0643776824034	 0.0128755364807
microwave       	            55.0	 0.0181818181818	  0.418181818182	  0.272727272727	             0.0	 0.0181818181818	 0.0181818181818	             0.0	             0.0	             0.0	 0.0727272727273	  0.127272727273	 0.0545454545455
oven            	           153.0	             0.0	  0.078431372549	  0.444444444444	             0.0	 0.0196078431373	0.00653594771242	             0.0	 0.0915032679739	   0.21568627451	0.00653594771242	 0.0326797385621	  0.104575163399
toaster         	             7.0	  0.142857142857	  0.428571428571	  0.142857142857	             0.0	             0.0	             0.0	             0.0	  0.142857142857	             0.0	             0.0	  0.142857142857	             0.0
sink            	           281.0	 0.0640569395018	  0.245551601423	  0.220640569395	             0.0	             0.0	0.00355871886121	 0.0604982206406	   0.14590747331	  0.110320284698	0.00711743772242	 0.0604982206406	 0.0818505338078
refrigerator    	           126.0	             0.0	 0.0396825396825	  0.619047619048	             0.0	             0.0	0.00793650793651	             0.0	  0.015873015873	  0.174603174603	             0.0	 0.0555555555556	 0.0873015873016
book            	          1843.0	  0.380900705372	  0.200217037439	 0.0558871405317	0.00271296798698	0.00108518719479	0.00108518719479	 0.0949538795442	 0.0531741725448	 0.0130222463375	  0.128594682583	 0.0558871405317	 0.0124796527401
clock           	           253.0	  0.252964426877	  0.335968379447	  0.177865612648	             0.0	             0.0	             0.0	 0.0395256916996	 0.0197628458498	 0.0316205533597	 0.0790513833992	 0.0355731225296	 0.0276679841897
vase            	           300.0	  0.176666666667	  0.216666666667	            0.14	            0.02	 0.0133333333333	0.00333333333333	 0.0433333333333	 0.0933333333333	 0.0266666666667	  0.116666666667	             0.1	            0.05
scissors        	            28.0	             0.0	  0.142857142857	  0.464285714286	             0.0	             0.0	             0.0	             0.0	 0.0714285714286	  0.285714285714	 0.0357142857143	             0.0	             0.0
teddy bear      	           212.0	 0.0330188679245	  0.127358490566	  0.466981132075	             0.0	0.00943396226415	0.00943396226415	 0.0141509433962	 0.0566037735849	  0.169811320755	             0.0	  0.061320754717	 0.0518867924528
hair drier      	             6.0	             0.0	             0.0	  0.166666666667	             0.0	             0.0	             0.0	             0.0	  0.666666666667	  0.166666666667	             0.0	             0.0	             0.0
toothbrush      	            59.0	  0.186440677966	  0.203389830508	  0.101694915254	             0.0	             0.0	             0.0	  0.186440677966	  0.152542372881	 0.0677966101695	 0.0847457627119	 0.0169491525424	             0.0
===========================================
All Class       	         41007.0	  0.193723022899	  0.249762235716	  0.240690613798	 0.0100226790548	0.00907162191821	0.00638915307143	 0.0420659887336	 0.0588192259858	 0.0621357329236	 0.0547223644744	 0.0475284707489	 0.0250688906772
=============== sorted  ==================
hair drier      	             6.0	             0.0	             0.0	  0.166666666667	             0.0	             0.0	             0.0	             0.0	  0.666666666667	  0.166666666667	             0.0	             0.0	             0.0
orange          	           350.0	 0.0542857142857	  0.185714285714	  0.134285714286	0.00285714285714	 0.0685714285714	 0.0342857142857	            0.02	  0.122857142857	  0.168571428571	 0.0371428571429	  0.102857142857	 0.0685714285714
broccoli        	           463.0	0.00647948164147	  0.276457883369	  0.166306695464	             0.0	 0.0107991360691	 0.0172786177106	0.00647948164147	  0.181425485961	  0.120950323974	 0.0151187904968	  0.123110151188	 0.0755939524838
spoon           	           205.0	  0.112195121951	  0.229268292683	  0.126829268293	  0.019512195122	 0.0390243902439	             0.0	 0.0585365853659	 0.0878048780488	 0.0926829268293	  0.117073170732	   0.10243902439	 0.0146341463415
apple           	           304.0	  0.121710526316	  0.240131578947	  0.108552631579	 0.0131578947368	             0.0	 0.0296052631579	 0.0427631578947	 0.0789473684211	  0.108552631579	 0.0526315789474	 0.0986842105263	  0.105263157895
handbag         	           370.0	  0.148648648649	  0.237837837838	 0.0945945945946	 0.0756756756757	 0.0567567567568	0.00810810810811	 0.0675675675676	 0.0837837837838	 0.0324324324324	 0.0837837837838	 0.0891891891892	 0.0216216216216
carrot          	           597.0	  0.155778894472	  0.268006700168	 0.0636515912898	0.00335008375209	 0.0502512562814	0.00167504187605	 0.0502512562814	  0.103852596315	 0.0251256281407	  0.105527638191	  0.154103852596	 0.0184254606365
toothbrush      	            59.0	  0.186440677966	  0.203389830508	  0.101694915254	             0.0	             0.0	             0.0	  0.186440677966	  0.152542372881	 0.0677966101695	 0.0847457627119	 0.0169491525424	             0.0
bench           	           346.0	 0.0693641618497	  0.153179190751	  0.274566473988	 0.0028901734104	 0.0173410404624	 0.0260115606936	 0.0317919075145	 0.0953757225434	  0.161849710983	 0.0404624277457	 0.0809248554913	 0.0462427745665
dining table    	           728.0	 0.0137362637363	 0.0700549450549	  0.417582417582	0.00412087912088	0.00961538461538	 0.0206043956044	0.00824175824176	 0.0631868131868	  0.258241758242	  0.010989010989	 0.0494505494505	 0.0741758241758
bowl            	           688.0	 0.0915697674419	  0.199127906977	  0.213662790698	 0.0203488372093	 0.0145348837209	 0.0261627906977	 0.0247093023256	 0.0261627906977	 0.0566860465116	  0.129360465116	  0.116279069767	 0.0813953488372
skis            	           258.0	  0.116279069767	  0.259689922481	  0.135658914729	 0.0116279069767	  0.015503875969	0.00387596899225	 0.0968992248062	  0.147286821705	  0.077519379845	  0.062015503876	  0.062015503876	 0.0116279069767
oven            	           153.0	             0.0	  0.078431372549	  0.444444444444	             0.0	 0.0196078431373	0.00653594771242	             0.0	 0.0915032679739	   0.21568627451	0.00653594771242	 0.0326797385621	  0.104575163399
boat            	           534.0	  0.168539325843	  0.202247191011	  0.159176029963	 0.0112359550562	0.00936329588015	0.00374531835206	 0.0861423220974	  0.101123595506	 0.0805243445693	 0.0767790262172	  0.059925093633	 0.0411985018727
sink            	           281.0	 0.0640569395018	  0.245551601423	  0.220640569395	             0.0	             0.0	0.00355871886121	 0.0604982206406	   0.14590747331	  0.110320284698	0.00711743772242	 0.0604982206406	 0.0818505338078
vase            	           300.0	  0.176666666667	  0.216666666667	            0.14	            0.02	 0.0133333333333	0.00333333333333	 0.0433333333333	 0.0933333333333	 0.0266666666667	  0.116666666667	             0.1	            0.05
couch           	           281.0	             0.0	 0.0355871886121	  0.498220640569	             0.0	0.00355871886121	 0.0355871886121	             0.0	 0.0355871886121	  0.348754448399	             0.0	0.00355871886121	 0.0391459074733
truck           	           370.0	 0.0567567567568	  0.205405405405	  0.278378378378	 0.0162162162162	 0.0297297297297	 0.0243243243243	 0.0378378378378	  0.108108108108	 0.0513513513514	 0.0324324324324	  0.110810810811	 0.0486486486486
chair           	          1833.0	  0.119476268412	   0.27114020731	  0.150027277687	 0.0741953082379	  0.025641025641	 0.0163666121113	 0.0338243316967	 0.0938352427714	 0.0720130932897	 0.0316421167485	 0.0736497545008	  0.038188761593
knife           	           249.0	  0.180722891566	  0.244979919679	  0.120481927711	0.00803212851406	 0.0240963855422	0.00401606425703	   0.14859437751	 0.0923694779116	 0.0321285140562	 0.0441767068273	 0.0722891566265	 0.0281124497992
banana          	           488.0	 0.0512295081967	  0.303278688525	  0.194672131148	             0.0	0.00204918032787	0.00614754098361	 0.0266393442623	  0.135245901639	  0.112704918033	 0.0102459016393	 0.0922131147541	 0.0655737704918
fork            	           169.0	 0.0355029585799	  0.230769230769	  0.289940828402	0.00591715976331	 0.0177514792899	 0.0118343195266	 0.0236686390533	   0.10650887574	  0.130177514793	 0.0414201183432	  0.094674556213	 0.0118343195266
traffic light   	           685.0	  0.436496350365	  0.132846715328	 0.0204379562044	 0.0131386861314	             0.0	             0.0	  0.137226277372	 0.0189781021898	 0.0102189781022	  0.179562043796	 0.0467153284672	 0.0043795620438
bed             	           178.0	             0.0	 0.0168539325843	  0.573033707865	             0.0	0.00561797752809	0.00561797752809	             0.0	             0.0	  0.320224719101	0.00561797752809	 0.0112359550562	  0.061797752809
scissors        	            28.0	             0.0	  0.142857142857	  0.464285714286	             0.0	             0.0	             0.0	             0.0	 0.0714285714286	  0.285714285714	 0.0357142857143	             0.0	             0.0
parking meter   	            52.0	 0.0961538461538	  0.192307692308	  0.326923076923	             0.0	             0.0	             0.0	 0.0384615384615	  0.134615384615	 0.0769230769231	 0.0769230769231	             0.0	 0.0576923076923
car             	          2227.0	  0.338123035474	  0.204759766502	 0.0754378087113	 0.0188594521778	 0.0175123484508	0.00673551863493	 0.0911540188595	 0.0660080826224	 0.0278401436911	 0.0844185002245	 0.0525370453525	 0.0166142792995
backpack        	           245.0	  0.159183673469	  0.342857142857	  0.118367346939	 0.0163265306122	 0.0408163265306	0.00816326530612	 0.0326530612245	   0.10612244898	 0.0571428571429	 0.0163265306122	 0.0612244897959	 0.0408163265306
teddy bear      	           212.0	 0.0330188679245	  0.127358490566	  0.466981132075	             0.0	0.00943396226415	0.00943396226415	 0.0141509433962	 0.0566037735849	  0.169811320755	             0.0	  0.061320754717	 0.0518867924528
sandwich        	           145.0	             0.0	   0.11724137931	  0.510344827586	0.00689655172414	 0.0206896551724	 0.0206896551724	             0.0	 0.0344827586207	  0.234482758621	             0.0	 0.0137931034483	 0.0413793103448
surfboard       	           258.0	  0.104651162791	  0.321705426357	  0.209302325581	0.00387596899225	0.00387596899225	 0.0077519379845	 0.0736434108527	 0.0968992248062	  0.100775193798	  0.031007751938	 0.0193798449612	 0.0271317829457
cup             	           818.0	  0.209046454768	  0.295843520782	  0.132029339853	  0.018337408313	  0.018337408313	0.00488997555012	 0.0366748166259	 0.0342298288509	 0.0171149144254	  0.102689486553	  0.102689486553	 0.0281173594132
book            	          1843.0	  0.380900705372	  0.200217037439	 0.0558871405317	0.00271296798698	0.00108518719479	0.00108518719479	 0.0949538795442	 0.0531741725448	 0.0130222463375	  0.128594682583	 0.0558871405317	 0.0124796527401
potted plant    	           330.0	 0.0757575757576	  0.369696969697	  0.193939393939	0.00606060606061	             0.0	             0.0	 0.0333333333333	   0.10303030303	             0.1	 0.0212121212121	 0.0666666666667	  0.030303030303
bicycle         	           327.0	 0.0948012232416	  0.305810397554	  0.241590214067	 0.0183486238532	 0.0336391437309	0.00611620795107	 0.0733944954128	 0.0795107033639	 0.0948012232416	 0.0214067278287	 0.0152905198777	 0.0152905198777
remote          	           283.0	  0.339222614841	  0.236749116608	 0.0671378091873	 0.0141342756184	0.00353356890459	             0.0	  0.109540636042	 0.0706713780919	 0.0212014134276	 0.0777385159011	 0.0530035335689	0.00706713780919
wine glass      	           284.0	  0.204225352113	  0.271126760563	  0.183098591549	 0.0492957746479	 0.0246478873239	 0.0140845070423	 0.0492957746479	 0.0950704225352	 0.0387323943662	 0.0422535211268	 0.0176056338028	 0.0105633802817
refrigerator    	           126.0	             0.0	 0.0396825396825	  0.619047619048	             0.0	             0.0	0.00793650793651	             0.0	  0.015873015873	  0.174603174603	             0.0	 0.0555555555556	 0.0873015873016
baseball bat    	           130.0	  0.115384615385	  0.376923076923	  0.169230769231	0.00769230769231	0.00769230769231	             0.0	 0.0538461538462	  0.123076923077	 0.0846153846154	 0.0384615384615	 0.0153846153846	0.00769230769231
bottle          	          1087.0	  0.287028518859	  0.290708371665	 0.0901563937443	0.00275988960442	0.00459981600736	0.00183992640294	 0.0478380864765	 0.0478380864765	 0.0110395584177	  0.142594296228	 0.0653173873045	0.00827966881325
keyboard        	           167.0	 0.0059880239521	  0.287425149701	  0.377245508982	             0.0	 0.0119760479042	 0.0059880239521	             0.0	 0.0419161676647	 0.0838323353293	 0.0179640718563	  0.137724550898	 0.0299401197605
toilet          	           201.0	0.00497512437811	   0.10447761194	  0.562189054726	             0.0	             0.0	             0.0	             0.0	 0.0298507462687	  0.164179104478	0.00497512437811	 0.0398009950249	  0.089552238806
cell phone      	           233.0	   0.25321888412	  0.278969957082	  0.141630901288	0.00429184549356	             0.0	             0.0	  0.068669527897	  0.068669527897	 0.0515021459227	 0.0557939914163	 0.0643776824034	 0.0128755364807
sheep           	           447.0	  0.127516778523	  0.281879194631	  0.266219239374	             0.0	 0.0089485458613	 0.0089485458613	 0.0223713646532	 0.0693512304251	 0.0581655480984	 0.0984340044743	 0.0425055928412	 0.0156599552573
pizza           	           284.0	 0.0211267605634	  0.193661971831	  0.464788732394	             0.0	0.00352112676056	             0.0	 0.0176056338028	 0.0774647887324	   0.12323943662	 0.0140845070423	  0.056338028169	 0.0281690140845
cake            	           304.0	  0.118421052632	  0.299342105263	  0.282894736842	             0.0	0.00986842105263	0.00328947368421	 0.0164473684211	 0.0756578947368	 0.0921052631579	 0.0361842105263	 0.0263157894737	 0.0394736842105
